,Area,Item,Unit,Value,Sentence
78194,Greece,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,1.4,In Greece the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 1.4 %
78202,Greece,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,2.2,In Greece the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 2.2 %
78234,Greece,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,5.8,In Greece the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 5.8 %
78242,Greece,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,5,In Greece the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 5 %
78250,Greece,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,6.7,In Greece the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 6.7 %
78258,Greece,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,7,In Greece the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 7 %
78266,Greece,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,6.1,In Greece the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 6.1 %
78274,Greece,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,7.9,In Greece the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 7.9 %
78433,Greece,Cereal import dependency ratio (percent) (3-year average),%,34.3,In Greece the Cereal import dependency ratio (percent) (3-year average) is 34.3 %
78454,Greece,Percent of arable land equipped for irrigation (percent) (3-year average),%,15.5,In Greece the Percent of arable land equipped for irrigation (percent) (3-year average) is 15.5 %
78475,Greece,Value of food imports in total merchandise exports (percent) (3-year average),%,15,In Greece the Value of food imports in total merchandise exports (percent) (3-year average) is 15 %
78497,Greece,Political stability and absence of violence/terrorism (index),,0.06,
78521,Greece,Per capita food supply variability (kcal/cap/day),kcal/cap/d,23,In Greece the Per capita food supply variability (kcal/cap/day) is 23 kcal/cap/d
78544,Greece,Percentage of population using safely managed drinking water services (percent),%,99,In Greece the Percentage of population using safely managed drinking water services (percent) is 99 %
78567,Greece,Percentage of population using at least basic drinking water services (percent),%,99,In Greece the Percentage of population using at least basic drinking water services (percent) is 99 %
78590,Greece,Percentage of population using safely managed sanitation services (percent),%,92,In Greece the Percentage of population using safely managed sanitation services (percent) is 92 %
78613,Greece,Percentage of population using at least basic sanitation services (percent),%,99,In Greece the Percentage of population using at least basic sanitation services (percent) is 99 %
78636,Greece,Percentage of children under 5 years affected by wasting (percent),%,,In Greece the Percentage of children under 5 years affected by wasting (percent) is nan %
78683,Greece,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,2.2,In Greece the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 2.2 %
78729,Greece,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,14.6,In Greece the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 14.6 %
78775,Greece,Prevalence of obesity in the adult population (18 years and older) (percent),%,28,In Greece the Prevalence of obesity in the adult population (18 years and older) (percent) is 28 %
78798,Greece,Number of obese adults (18 years and older) (million),million No,2.4,In Greece the Number of obese adults (18 years and older) (million) is 2.4 million No
78818,Greece,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,15.1,In Greece the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 15.1 %
78861,Greece,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Greece the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
78882,Greece,Prevalence of low birthweight (percent),%,11.4,In Greece the Prevalence of low birthweight (percent) is 11.4 %
78927,Greece,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1941,In Greece the Minimum dietary energy requirement  (kcal/cap/day) is 1941 kcal/cap/d
78951,Greece,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2524,In Greece the Average dietary energy requirement (kcal/cap/day) is 2524 kcal/cap/d
78975,Greece,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.21,In Greece the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.21 No
78999,Greece,Incidence of caloric losses at retail distribution level (percent),%,2.04,In Greece the Incidence of caloric losses at retail distribution level (percent) is 2.04 %
79014,Greece,Average fat supply (g/cap/day) (3-year average),g/cap/d,156.9,In Greece the Average fat supply (g/cap/day) (3-year average) is 156.9 g/cap/d
79036,Greenland,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,68086.5,"In Greenland the Gross domestic product per capita, PPP, (constant 2017 international $) is 68086.5 Int$/cap"
79058,Greenland,Prevalence of undernourishment (percent) (3-year average),%,,In Greenland the Prevalence of undernourishment (percent) (3-year average) is nan %
79112,Greenland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In Greenland the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
79120,Greenland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In Greenland the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
79128,Greenland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In Greenland the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
79136,Greenland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In Greenland the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
79144,Greenland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In Greenland the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
79152,Greenland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In Greenland the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
79184,Greenland,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In Greenland the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
79192,Greenland,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In Greenland the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
79200,Greenland,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In Greenland the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
79208,Greenland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In Greenland the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
79216,Greenland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In Greenland the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
79224,Greenland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In Greenland the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
79389,Greenland,Percent of arable land equipped for irrigation (percent) (3-year average),%,,In Greenland the Percent of arable land equipped for irrigation (percent) (3-year average) is nan %
